sep=,
S1Chart
X of Ga2O3_silicon_calib 75  1 Measured 75 [Wavelength (nm)],Ga2O3_silicon_calib 75  1 Measured 75 - Psi,X of Ga2O3_silicon_calib 70  2 Measured 70 [Wavelength (nm)],Ga2O3_silicon_calib 70  2 Measured 70 - Psi,X of Ga2O3_silicon_calib 65  3 Measured 65 [Wavelength (nm)],Ga2O3_silicon_calib 65  3 Measured 65 - Psi,X of Ga2O3_silicon_calib 60  4 Measured 60 [Wavelength (nm)],Ga2O3_silicon_calib 60  4 Measured 60 - Psi,X of Ga2O3_silicon_calib 55  5 Measured 55 [Wavelength (nm)],Ga2O3_silicon_calib 55  5 Measured 55 - Psi,X of Ga2O3_silicon_calib 50  6 Measured 50 [Wavelength (nm)],Ga2O3_silicon_calib 50  6 Measured 50 - Psi,X of Ga2O3_silicon_calib 75  1 Generated 75 [Wavelength (nm)],Ga2O3_silicon_calib 75  1 Generated 75 - Psi,X of Ga2O3_silicon_calib 70  2 Generated 70 [Wavelength (nm)],Ga2O3_silicon_calib 70  2 Generated 70 - Psi,X of Ga2O3_silicon_calib 65  3 Generated 65 [Wavelength (nm)],Ga2O3_silicon_calib 65  3 Generated 65 - Psi,X of Ga2O3_silicon_calib 60  4 Generated 60 [Wavelength (nm)],Ga2O3_silicon_calib 60  4 Generated 60 - Psi,X of Ga2O3_silicon_calib 55  5 Generated 55 [Wavelength (nm)],Ga2O3_silicon_calib 55  5 Generated 55 - Psi,X of Ga2O3_silicon_calib 50  6 Generated 50 [Wavelength (nm)],Ga2O3_silicon_calib 50  6 Generated 50 - Psi
949.861845046817,37.1518560525767,949.861845046817,34.0716768941765,949.861845046817,31.2237591110006,949.861845046817,28.6273074757063,949.861845046817,28.9991992210034,949.861845046817,30.4758132193211,949.861845046817,36.2904301704306,949.861845046817,32.8915258335896,949.861845046817,29.7782136312847,949.861845046817,27.7453330804877,949.861845046817,27.4683951442296,949.861845046817,28.8994110295213
949.075788174938,37.2062302253602,949.075788174938,34.0203158918561,949.075788174938,31.1639855579145,949.075788174938,29.1176065018931,949.075788174938,28.5586900874388,949.075788174938,30.3755063776839,949.075788174938,36.2442414652804,949.075788174938,32.8370429645101,949.075788174938,29.7251485341616,949.075788174938,27.7050033135537,949.075788174938,27.4468198887348,949.075788174938,28.8934847378811
948.289731303059,37.0717720579451,948.289731303059,34.0530904498569,948.289731303059,30.8794236703339,948.289731303059,28.8355240504032,948.289731303059,28.4768211189251,948.289731303059,29.7262173055309,948.289731303059,36.198002724128,948.289731303059,32.7825655139867,948.289731303059,29.6721817807557,948.289731303059,27.664852983387,948.289731303059,27.425428772438,948.289731303059,28.8876823711029
947.50367443118,37.1541701795716,947.50367443118,33.7235392177566,947.50367443118,31.1921262973926,947.50367443118,29.2220600110235,947.50367443118,28.646672306513,947.50367443118,30.1756173116478,947.50367443118,36.1517144521178,947.50367443118,32.7280940853331,947.50367443118,29.6193138499512,947.50367443118,27.6248820675785,947.50367443118,27.4042211874415,947.50367443118,28.8820032707374
946.717617559296,36.9239154635111,946.717617559296,33.8168474691214,946.717617559296,30.8658196372504,946.717617559296,28.9381720381527,946.717617559296,28.7101830601239,946.717617559296,30.5500971560768,946.717617559296,36.1053771435807,946.717617559296,32.6736292686673,946.717617559296,29.5665452083143,946.717617559296,27.5850905352604,946.717617559296,27.3831965240002,946.717617559296,28.8764467809363
945.931560687416,37.1551411577612,945.931560687416,33.8090300012881,945.931560687416,30.5107901670366,945.931560687416,29.1264978061442,945.931560687416,28.4401402241926,945.931560687416,29.343481373611,945.931560687416,36.0589912819956,945.931560687416,32.6191716409475,945.931560687416,29.5138763102137,945.931560687416,27.5454783472404,945.931560687416,27.3623541705952,945.931560687416,28.8710122484437
945.145503815532,36.8449529862042,945.145503815532,33.4569442430283,945.145503815532,30.2259229718583,945.145503815532,28.5096399062973,945.145503815532,28.1034622791062,945.145503815532,30.2598841712037,945.145503815532,36.0125573399499,945.145503815532,32.5647217660066,945.145503815532,29.4613075979385,945.145503815532,27.5060454561307,945.145503815532,27.3416935140051,945.145503815532,28.8656990225877
944.359446943657,37.0197442543937,944.359446943657,33.5675964319257,944.359446943657,30.9645495667108,944.359446943657,28.9035420441361,944.359446943657,28.8831343873571,944.359446943657,30.8550681613851,944.359446943657,35.9660757791048,944.359446943657,32.5102801945912,944.359446943657,29.4088395018188,944.359446943657,27.4667918064792,944.359446943657,27.3212139393765,944.359446943657,28.8605064552707
943.573390071771,36.8248801847076,943.573390071771,33.3734690467321,943.573390071771,30.6096743569546,943.573390071771,28.7566832408096,943.573390071771,28.4401311010274,943.573390071771,29.907084634011,943.573390071771,35.9195470501567,943.573390071771,32.4558474643963,943.573390071771,29.3564724403423,943.573390071771,27.4277173348953,943.573390071771,27.300914830292,943.573390071771,28.8554339009602
942.787333199894,36.7936551666586,942.787333199894,33.0664604803474,942.787333199894,30.8271164832446,942.787333199894,28.5902385725601,942.787333199894,28.9418291317127,942.787333199894,29.8528749456747,942.787333199894,35.8729715928067,942.787333199894,32.4014241001098,942.787333199894,29.3042068202776,942.787333199894,27.3888219701793,942.787333199894,27.2807955688388,942.787333199894,28.8504807166787
942.001276328014,36.8631057995654,942.001276328014,33.8224570228329,942.001276328014,30.4013472857803,942.001276328014,28.5259752617415,942.001276328014,29.0033444289707,942.001276328014,30.7602398165387,942.001276328014,35.8263498357239,942.001276328014,32.3470106134473,942.001276328014,29.2520430367888,942.001276328014,27.3501056334452,942.001276328014,27.2608555356731,942.001276328014,28.8456462619931
