sep=,
S1Chart
X of SiO2_calib 75  1 Measured 75 [Wavelength (nm)],SiO2_calib 75  1 Measured 75 - Psi,X of SiO2_calib 70  2 Measured 70 [Wavelength (nm)],SiO2_calib 70  2 Measured 70 - Psi,X of SiO2_calib 65  3 Measured 65 [Wavelength (nm)],SiO2_calib 65  3 Measured 65 - Psi,X of SiO2_calib 60  4 Measured 60 [Wavelength (nm)],SiO2_calib 60  4 Measured 60 - Psi,X of SiO2_calib 55  5 Measured 55 [Wavelength (nm)],SiO2_calib 55  5 Measured 55 - Psi,X of SiO2_calib 50  6 Measured 50 [Wavelength (nm)],SiO2_calib 50  6 Measured 50 - Psi,X of SiO2_calib 75  1 Generated 75 [Wavelength (nm)],SiO2_calib 75  1 Generated 75 - Psi,X of SiO2_calib 70  2 Generated 70 [Wavelength (nm)],SiO2_calib 70  2 Generated 70 - Psi,X of SiO2_calib 65  3 Generated 65 [Wavelength (nm)],SiO2_calib 65  3 Generated 65 - Psi,X of SiO2_calib 60  4 Generated 60 [Wavelength (nm)],SiO2_calib 60  4 Generated 60 - Psi,X of SiO2_calib 55  5 Generated 55 [Wavelength (nm)],SiO2_calib 55  5 Generated 55 - Psi,X of SiO2_calib 50  6 Generated 50 [Wavelength (nm)],SiO2_calib 50  6 Generated 50 - Psi
949.861845046817,32.8674030440234,949.861845046817,31.5061227219883,949.861845046817,31.5516371234136,949.861845046817,32.1352171787728,949.861845046817,34.018654109246,949.861845046817,35.4980240452106,949.861845046817,33.1891047979724,949.861845046817,31.6627475310234,949.861845046817,31.5759548231653,949.861845046817,32.5773718399021,949.861845046817,34.2086184453442,949.861845046817,36.0791343251326
949.075788174938,32.7722356432957,949.075788174938,31.3712045167053,949.075788174938,31.463155701119,949.075788174938,32.4845447356356,949.075788174938,34.349800711458,949.075788174938,35.7442418897076,949.075788174938,33.2121351234924,949.075788174938,31.6883951780706,949.075788174938,31.601521554203,949.075788174938,32.6012000555196,949.075788174938,34.2300092856638,949.075788174938,36.0978970295248
948.289731303059,33.0113485447343,948.289731303059,31.594693134807,948.289731303059,31.7749087039983,948.289731303059,32.5168740342543,948.289731303059,34.3721527910578,948.289731303059,36.5149614640845,948.289731303059,33.2352127659994,948.289731303059,31.7141050172413,948.289731303059,31.6271627036815,948.289731303059,32.6251099601191,948.289731303059,34.2514833324435,948.289731303059,36.1167394289862
947.50367443118,32.9713083242423,947.50367443118,31.346870611351,947.50367443118,31.4417409776867,947.50367443118,32.5779399048472,947.50367443118,34.2673113211436,947.50367443118,35.7419513870603,947.50367443118,33.258337957316,947.50367443118,31.7398773590412,947.50367443118,31.6528786507221,947.50367443118,32.6491019822344,947.50367443118,34.2730410351382,947.50367443118,36.1356619618299
946.717617559296,33.0973008371615,946.717617559296,31.4486412918324,946.717617559296,31.3503672234331,946.717617559296,32.6740525541897,946.717617559296,34.3092096320617,946.717617559296,36.3110387109565,946.717617559296,33.2815109309967,946.717617559296,31.7657125162436,946.717617559296,31.6786697771422,946.717617559296,32.6731765533552,946.717617559296,34.2946828461982,946.717617559296,36.1546650691634
945.931560687416,33.1324625391553,945.931560687416,31.7511962166328,945.931560687416,31.7112010343803,945.931560687416,33.1713405057624,945.931560687416,34.6885621532845,945.931560687416,36.7812213929082,945.931560687416,33.3047319223445,945.931560687416,31.791610803909,945.931560687416,31.7045364674788,945.931560687416,32.6973341079506,945.931560687416,34.3164092210914,945.931560687416,36.1737491949062
945.145503815532,33.021503773715,945.145503815532,31.5117967629683,945.145503815532,31.5796219728313,945.145503815532,32.887806407972,945.145503815532,34.0565586633235,945.145503815532,35.9337591594886,945.145503815532,33.3280011684264,945.145503815532,31.8175725394066,945.145503815532,31.7304791090123,945.145503815532,32.7215750834951,945.145503815532,34.3382206183268,945.145503815532,36.1929147858096
944.359446943657,32.8220955041612,944.359446943657,31.446757504013,944.359446943657,31.6833457830987,944.359446943657,32.5975827315126,944.359446943657,34.2130633324724,944.359446943657,36.4240684489661,944.359446943657,33.3513189080891,944.359446943657,31.8435980424339,944.359446943657,31.7564980917895,944.359446943657,32.7458999204919,944.359446943657,34.3601174994764,944.359446943657,36.2121622914743
943.573390071771,33.1639663627773,943.573390071771,31.6858300941683,943.573390071771,31.7214211640555,943.573390071771,32.5963831990525,943.573390071771,34.5645164271798,943.573390071771,37.0428340273454,943.573390071771,33.3746853819765,943.573390071771,31.869687635039,943.573390071771,31.7825938086495,943.573390071771,32.7703090624994,943.573390071771,34.3821003292005,943.573390071771,36.2314921643708
942.787333199894,33.0565803231576,942.787333199894,31.4440909798663,942.787333199894,31.6002932281045,942.787333199894,32.8468250556644,942.787333199894,34.6638157846046,942.787333199894,36.0963479684178,942.787333199894,33.3981008325442,942.787333199894,31.8958416416399,942.787333199894,31.8087666552455,942.787333199894,32.7948029561548,942.787333199894,34.4041695752683,942.787333199894,36.2509048598561
