sep=,
NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
884.619124680712,1.45201399120555,884.619124680712,0,,
883.833067808829,1.45202520974312,883.833067808829,0,,
883.047010936954,1.45203644825336,883.047010936954,0,,
882.26095406507,1.45204770678967,882.26095406507,0,,
881.474897193188,1.45205898540562,881.474897193188,0,,
880.688840321311,1.45207028415498,880.688840321311,0,,
879.902783449428,1.4520816030917,879.902783449428,0,,
879.116726577545,1.45209294226994,879.116726577545,0,,
878.330669705665,1.45210430174404,878.330669705665,0,,
877.544612833786,1.45211568156855,877.544612833786,0,,
876.758555961908,1.45212708179819,876.758555961908,0,,
875.972499090024,1.4521385024879,875.972499090024,0,,
875.186442218145,1.45214994369281,875.186442218145,0,,
874.400385346261,1.45216140546824,874.400385346261,0,,
873.614328474383,1.45217288786972,873.614328474383,0,,
872.828271602502,1.45218439095299,872.828271602502,0,,
872.042214730619,1.45219591477396,872.042214730619,0,,
871.25615785874,1.45220745938877,871.25615785874,0,,
870.470100986858,1.45221902485374,870.470100986858,0,,
869.684044114978,1.45223061122542,869.684044114978,0,,
868.897987243097,1.45224221856054,868.897987243097,0,,
868.111930371218,1.45225384691605,868.111930371218,0,,
867.325873499333,1.4522654963491,867.325873499333,0,,
866.539816627452,1.45227716691706,866.539816627452,0,,
865.753759755572,1.45228885867748,865.753759755572,0,,
864.967702883694,1.45230057168815,864.967702883694,0,,
864.181646011815,1.45231230600706,864.181646011815,0,,
863.395589139931,1.4523240616924,863.395589139931,0,,
862.609532268048,1.45233583880258,862.609532268048,0,,
861.823475396168,1.45234763739623,861.823475396168,0,,
861.03741852429,1.45235945753219,861.03741852429,0,,
860.251361652407,1.4523712992695,860.251361652407,0,,
859.46530478053,1.45238316266744,859.46530478053,0,,
858.679247908649,1.4523950477855,858.679247908649,0,,
857.893191036764,1.45240695468337,857.893191036764,0,,
857.107134164888,1.45241888342099,857.107134164888,0,,
856.321077293004,1.45243083405848,856.321077293004,0,,
855.535020421123,1.45244280665623,855.535020421123,0,,
854.748963549242,1.45245480127481,854.748963549242,0,,
853.962906677359,1.45246681797504,853.962906677359,0,,
853.176849805481,1.45247885681794,853.176849805481,0,,
852.390792933602,1.45249091786478,852.390792933602,0,,
851.604736061721,1.45250300117704,851.604736061721,0,,
850.818679189836,1.45251510681643,850.818679189836,0,,
850.032622317958,1.45252723484489,850.032622317958,0,,
849.246565446076,1.4525393853246,849.246565446076,0,,
848.460508574198,1.45255155831795,848.460508574198,0,,
847.674451702313,1.45256375388757,847.674451702313,0,,
846.888394830437,1.45257597209633,846.888394830437,0,,
846.102337958556,1.45258821300732,846.102337958556,0,,
845.316281086675,1.45260047668388,845.316281086675,0,,
844.530224214795,1.45261276318957,844.530224214795,0,,
843.74416734291,1.45262507258821,843.74416734291,0,,
842.95811047103,1.45263740494383,842.95811047103,0,,
842.172053599149,1.45264976032071,842.172053599149,0,,
841.385996727269,1.45266213878338,841.385996727269,0,,
840.599939855388,1.4526745403966,840.599939855388,0,,
839.813882983507,1.45268696522537,839.813882983507,0,,
839.027826111625,1.45269941333496,839.027826111625,0,,
838.241769239747,1.45271188479084,838.241769239747,0,,
837.455712367865,1.45272437965876,837.455712367865,0,,
836.669655495981,1.45273689800471,836.669655495981,0,,
835.883598624103,1.45274943989493,835.883598624103,0,,
835.097541752221,1.45276200539589,835.097541752221,0,,
834.311484880342,1.45277459457434,834.311484880342,0,,
833.525428008463,1.45278720749726,833.525428008463,0,,
832.739371136582,1.45279984423189,832.739371136582,0,,
831.9533142647,1.45281250484572,831.9533142647,0,,
831.16725739282,1.45282518940651,831.16725739282,0,,
830.381200520938,1.45283789798226,830.381200520938,0,,
829.595143649058,1.45285063064124,829.595143649058,0,,
828.809086777178,1.45286338745196,828.809086777178,0,,
828.023029905293,1.45287616848322,828.023029905293,0,,
827.236973033414,1.45288897380405,827.236973033414,0,,
826.450916161532,1.45290180348376,826.450916161532,0,,
825.664859289654,1.45291465759193,825.664859289654,0,,
824.878802417771,1.45292753619839,824.878802417771,0,,
824.092745545889,1.45294043937324,824.092745545889,0,,
823.30668867401,1.45295336718685,823.30668867401,0,,
822.52063180213,1.45296631970987,822.52063180213,0,,
821.734574930251,1.45297929701319,821.734574930251,0,,
820.94851805837,1.45299229916802,820.94851805837,0,,
820.162461186486,1.45300532624578,820.162461186486,0,,
819.376404314606,1.45301837831823,819.376404314606,0,,
818.590347442727,1.45303145545736,818.590347442727,0,,
817.804290570845,1.45304455773544,817.804290570845,0,,
817.018233698964,1.45305768522505,817.018233698964,0,,
816.232176827085,1.45307083799902,816.232176827085,0,,
815.446119955202,1.45308401613046,815.446119955202,0,,
814.66006308332,1.45309721969278,814.66006308332,0,,
813.874006211443,1.45311044875967,813.874006211443,0,,
813.08794933956,1.45312370340509,813.08794933956,0,,
812.301892467677,1.4531369837033,812.301892467677,0,,
811.5158355958,1.45315028972885,811.5158355958,0,,
810.729778723918,1.45316362155656,810.729778723918,0,,
809.943721852038,1.45317697926156,809.943721852038,0,,
809.157664980156,1.45319036291927,809.157664980156,0,,
808.371608108277,1.4532037726054,808.371608108277,0,,
807.585551236395,1.45321720839595,807.585551236395,0,,
806.799494364515,1.45323067036721,806.799494364515,0,,
806.013437492634,1.45324415859579,806.013437492634,0,,
805.227380620753,1.45325767315859,805.227380620753,0,,
804.441323748873,1.45327121413279,804.441323748873,0,,
803.655266876993,1.45328478159591,803.655266876993,0,,
802.869210005107,1.45329837562573,802.869210005107,0,,
802.083153133226,1.45331199630038,802.083153133226,0,,
801.297096261347,1.45332564369826,801.297096261347,0,,
800.511039389467,1.4533393178981,800.511039389467,0,,
799.724982517588,1.45335301897892,799.724982517588,0,,
798.938925645706,1.45336674702008,798.938925645706,0,,
798.152868773824,1.45338050210122,798.152868773824,0,,
797.366811901942,1.45339428430232,797.366811901942,0,,
796.580755030062,1.45340809370365,796.580755030062,0,,
795.794698158181,1.45342193038583,795.794698158181,0,,
795.008641286302,1.45343579442977,795.008641286302,0,,
794.222584414419,1.45344968591672,794.222584414419,0,,
793.436527542541,1.45346360492823,793.436527542541,0,,
792.650470670659,1.4534775515462,792.650470670659,0,,
791.864413798776,1.45349152585284,791.864413798776,0,,
791.078356926897,1.45350552793068,791.078356926897,0,,
790.292300055019,1.45351955786259,790.292300055019,0,,
789.506243183135,1.45353361573178,789.506243183135,0,,
788.720186311255,1.45354770162176,788.720186311255,0,,
787.934129439375,1.4535618156164,787.934129439375,0,,
787.148072567491,1.4535759577999,787.148072567491,0,,
786.362015695614,1.45359012825679,786.362015695614,0,,
785.575958823734,1.45360432707194,785.575958823734,0,,
784.78990195185,1.45361855433057,784.78990195185,0,,
784.003845079969,1.45363281011823,784.003845079969,0,,
783.217788208091,1.45364709452082,783.217788208091,0,,
782.431731336207,1.45366140762458,782.431731336207,0,,
781.64567446433,1.45367574951609,781.64567446433,0,,
780.859617592444,1.4536901202823,780.859617592444,0,,
780.073560720567,1.4537045200105,780.073560720567,0,,
779.287503848686,1.45371894878832,779.287503848686,0,,
778.501446976804,1.45373340670376,778.501446976804,0,,
777.715390104922,1.45374789384518,777.715390104922,0,,
776.929333233042,1.45376241030127,776.929333233042,0,,
