sep=,
S2Chart
X of SiO2_calib 75  1 Measured 75 [Wavelength (nm)],SiO2_calib 75  1 Measured 75 - Delta,X of SiO2_calib 70  2 Measured 70 [Wavelength (nm)],SiO2_calib 70  2 Measured 70 - Delta,X of SiO2_calib 65  3 Measured 65 [Wavelength (nm)],SiO2_calib 65  3 Measured 65 - Delta,X of SiO2_calib 60  4 Measured 60 [Wavelength (nm)],SiO2_calib 60  4 Measured 60 - Delta,X of SiO2_calib 55  5 Measured 55 [Wavelength (nm)],SiO2_calib 55  5 Measured 55 - Delta,X of SiO2_calib 50  6 Measured 50 [Wavelength (nm)],SiO2_calib 50  6 Measured 50 - Delta,X of SiO2_calib 75  1 Generated 75 [Wavelength (nm)],SiO2_calib 75  1 Generated 75 - Delta,X of SiO2_calib 70  2 Generated 70 [Wavelength (nm)],SiO2_calib 70  2 Generated 70 - Delta,X of SiO2_calib 65  3 Generated 65 [Wavelength (nm)],SiO2_calib 65  3 Generated 65 - Delta,X of SiO2_calib 60  4 Generated 60 [Wavelength (nm)],SiO2_calib 60  4 Generated 60 - Delta,X of SiO2_calib 55  5 Generated 55 [Wavelength (nm)],SiO2_calib 55  5 Generated 55 - Delta,X of SiO2_calib 50  6 Generated 50 [Wavelength (nm)],SiO2_calib 50  6 Generated 50 - Delta
927.852252634154,57.9353334785807,927.852252634154,78.4027597120684,927.852252634154,97.4682901560734,927.852252634154,114.081091748828,927.852252634154,128.853422930004,927.852252634154,141.390275964729,927.852252634154,58.3840044308629,927.852252634154,78.4658282081389,927.852252634154,97.3200607967999,927.852252634154,113.987113869574,927.852252634154,128.093082761672,927.852252634154,139.751998364705
927.066195762279,57.8584787634765,927.066195762279,79.1679709898852,927.066195762279,97.1325932529149,927.066195762279,114.077066936066,927.066195762279,127.530083765532,927.066195762279,139.525688125307,927.066195762279,58.3789456127395,927.066195762279,78.4536698420919,927.066195762279,97.3019463167764,927.066195762279,113.96665722398,927.066195762279,128.073888412664,927.066195762279,139.736277728925
926.280138890394,58.1729917114756,926.280138890394,78.4012642564455,926.280138890394,97.4548796908969,926.280138890394,114.034744457065,926.280138890394,128.591236014505,926.280138890394,140.908808579232,926.280138890394,58.3739074809437,926.280138890394,78.4415490805782,926.280138890394,97.2838825602632,926.280138890394,113.946257379321,926.280138890394,128.054753463866,926.280138890394,139.720618885579
925.494082018515,58.0073382364361,925.494082018515,78.3397474914053,925.494082018515,97.4815810079796,925.494082018515,113.930107096049,925.494082018515,127.449504043696,925.494082018515,139.98495690633,925.494082018515,58.3688902111997,925.494082018515,78.429466202295,925.494082018515,97.2658699348923,925.494082018515,113.925914877327,925.494082018515,128.035678568886,925.494082018515,139.705022566273
924.708025146633,58.1129366598049,924.708025146633,78.5820455788398,924.708025146633,97.2407456937295,924.708025146633,113.989262892265,924.708025146633,128.232253384993,924.708025146633,139.49891102837,924.708025146633,58.3639622465243,924.708025146633,78.4174941428878,924.708025146633,97.2479755423028,924.708025146633,113.905686042969,924.708025146633,128.016709074134,924.708025146633,139.68952491591
923.92196827475,57.6547615817405,923.92196827475,78.0821393850544,923.92196827475,97.2546824239241,923.92196827475,114.194597831223,923.92196827475,128.467455863858,923.92196827475,140.959763182429,923.92196827475,58.3590853445672,923.92196827475,78.4055923633107,923.92196827475,97.2301624343526,923.92196827475,113.885540294317,923.92196827475,127.997820799505,923.92196827475,139.674107061928
923.13591140287,58.036038118127,923.13591140287,78.412822732956,923.13591140287,97.1441434142904,923.13591140287,113.979741027736,923.13591140287,128.353218586822,923.13591140287,140.157629600104,923.13591140287,58.3542298922297,923.13591140287,78.3937294532758,923.13591140287,97.2124019549335,923.13591140287,113.865453892211,923.13591140287,127.978994971268,923.13591140287,139.658754363408
922.349854530989,57.954083953778,922.349854530989,78.0670249657679,922.349854530989,97.3462516836804,922.349854530989,114.194978270689,922.349854530989,127.467885143289,922.349854530989,139.741802219061,922.349854530989,58.3493960705324,922.349854530989,78.3819057006071,922.349854530989,97.1946945259841,922.349854530989,113.845427399015,922.349854530989,127.960232270071,922.349854530989,139.643467584075
921.563797659112,57.7559455774613,921.563797659112,77.9037218404748,921.563797659112,97.1947701107317,921.563797659112,113.917211052442,921.563797659112,128.322194703498,921.563797659112,139.600921345742,921.563797659112,58.3445840615068,921.563797659112,78.3701213950219,921.563797659112,97.1770405725859,921.563797659112,113.825461381779,921.563797659112,127.94153338283,921.563797659112,139.628247495218
920.777740787233,57.8875536773303,920.777740787233,78.2525491134457,920.777740787233,97.214820740501,920.777740787233,113.924493244484,920.777740787233,127.462747562917,920.777740787233,139.976427469203,920.777740787233,58.3397940481992,920.777740787233,78.3583768281429,920.777740787233,97.1594405229904,920.777740787233,113.805556412286,920.777740787233,127.922899002793,920.777740787233,139.613094875768
