sep=,
NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
903.484489605854,1.9072956688097,903.484489605854,0,,
902.698432733971,1.90732052646633,902.698432733971,0,,
901.912375862091,1.90734545395664,901.912375862091,0,,
901.126318990209,1.90737045154738,901.126318990209,0,,
900.340262118332,1.90739551950659,900.340262118332,0,,
899.554205246451,1.9074206581036,899.554205246451,0,,
898.768148374568,1.90744586760909,898.768148374568,0,,
897.982091502687,1.90747114829503,897.982091502687,0,,
897.196034630807,1.90749650043474,897.196034630807,0,,
896.409977758926,1.90752192430288,896.409977758926,0,,
895.623920887047,1.90754742017542,895.623920887047,0,,
894.837864015166,1.90757298832974,894.837864015166,0,,
894.051807143283,1.90759862904454,894.051807143283,0,,
893.265750271401,1.90762434259991,893.265750271401,0,,
892.479693399519,1.90765012927732,892.479693399519,0,,
891.693636527642,1.9076759893596,891.693636527642,0,,
890.907579655761,1.90770192313101,890.907579655761,0,,
890.121522783879,1.90772793087721,890.121522783879,0,,
889.335465911995,1.90775401288524,889.335465911995,0,,
888.54940904012,1.9077801694436,888.54940904012,0,,
887.763352168239,1.90780640084219,887.763352168239,0,,
886.977295296358,1.90783270737238,886.977295296358,0,,
886.191238424472,1.90785908932695,886.191238424472,0,,
885.405181552597,1.90788554700016,885.405181552597,0,,
884.619124680712,1.90791208068774,884.619124680712,0,,
883.833067808829,1.90793869068686,883.833067808829,0,,
883.047010936954,1.90796537729621,883.047010936954,0,,
882.26095406507,1.90799214081596,882.26095406507,0,,
881.474897193188,1.90801898154776,881.474897193188,0,,
880.688840321311,1.9080458997948,880.688840321311,0,,
879.902783449428,1.90807289586178,879.902783449428,0,,
879.116726577545,1.90809997005492,879.116726577545,0,,
878.330669705665,1.90812712268197,878.330669705665,0,,
877.544612833786,1.90815435405226,877.544612833786,0,,
876.758555961908,1.90818166447665,876.758555961908,0,,
875.972499090024,1.90820905426757,875.972499090024,0,,
875.186442218145,1.90823652373904,875.186442218145,0,,
874.400385346261,1.90826407320664,874.400385346261,0,,
873.614328474383,1.90829170298758,873.614328474383,0,,
872.828271602502,1.90831941340064,872.828271602502,0,,
872.042214730619,1.90834720476624,872.042214730619,0,,
871.25615785874,1.90837507740643,871.25615785874,0,,
870.470100986858,1.90840303164487,870.470100986858,0,,
869.684044114978,1.90843106780688,869.684044114978,0,,
868.897987243097,1.90845918621945,868.897987243097,0,,
868.111930371218,1.90848738721121,868.111930371218,0,,
867.325873499333,1.90851567111249,867.325873499333,0,,
866.539816627452,1.90854403825529,866.539816627452,0,,
865.753759755572,1.90857248897332,865.753759755572,0,,
864.967702883694,1.908601023602,864.967702883694,0,,
864.181646011815,1.90862964247845,864.181646011815,0,,
863.395589139931,1.90865834594155,863.395589139931,0,,
862.609532268048,1.90868713433189,862.609532268048,0,,
861.823475396168,1.90871600799184,861.823475396168,0,,
861.03741852429,1.90874496726552,861.03741852429,0,,
860.251361652407,1.90877401249882,860.251361652407,0,,
859.46530478053,1.90880314403941,859.46530478053,0,,
858.679247908649,1.90883236223679,858.679247908649,0,,
857.893191036764,1.90886166744224,857.893191036764,0,,
857.107134164888,1.90889106000885,857.107134164888,0,,
856.321077293004,1.90892054029157,856.321077293004,0,,
855.535020421123,1.90895010864718,855.535020421123,0,,
854.748963549242,1.90897976543431,854.748963549242,0,,
853.962906677359,1.90900951101346,853.962906677359,0,,
853.176849805481,1.90903934574701,853.176849805481,0,,
852.390792933602,1.90906926999923,852.390792933602,0,,
851.604736061721,1.90909928413629,851.604736061721,0,,
850.818679189836,1.90912938852628,850.818679189836,0,,
850.032622317958,1.90915958353922,850.032622317958,0,,
849.246565446076,1.90918986954706,849.246565446076,0,,
848.460508574198,1.90922024692369,848.460508574198,0,,
847.674451702313,1.909250716045,847.674451702313,0,,
846.888394830437,1.90928127728883,846.888394830437,0,,
846.102337958556,1.90931193103501,846.102337958556,0,,
845.316281086675,1.90934267766539,845.316281086675,0,,
844.530224214795,1.90937351756382,844.530224214795,0,,
843.74416734291,1.90940445111618,843.74416734291,0,,
842.95811047103,1.9094354787104,842.95811047103,0,,
842.172053599149,1.90946660073647,842.172053599149,0,,
841.385996727269,1.90949781758643,841.385996727269,0,,
840.599939855388,1.90952912965441,840.599939855388,0,,
839.813882983507,1.90956053733665,839.813882983507,0,,
839.027826111625,1.90959204103148,839.027826111625,0,,
838.241769239747,1.90962364113935,838.241769239747,0,,
837.455712367865,1.90965533806288,837.455712367865,0,,
836.669655495981,1.9096871322068,836.669655495981,0,,
835.883598624103,1.90971902397803,835.883598624103,0,,
835.097541752221,1.90975101378566,835.097541752221,0,,
834.311484880342,1.90978310204098,834.311484880342,0,,
833.525428008463,1.90981528915749,833.525428008463,0,,
832.739371136582,1.9098475755509,832.739371136582,0,,
831.9533142647,1.90987996163917,831.9533142647,0,,
831.16725739282,1.90991244784251,831.16725739282,0,,
830.381200520938,1.90994503458339,830.381200520938,0,,
829.595143649058,1.90997772228658,829.595143649058,0,,
828.809086777178,1.91001051137911,828.809086777178,0,,
828.023029905293,1.91004340229037,828.023029905293,0,,
827.236973033414,1.91007639545204,827.236973033414,0,,
826.450916161532,1.91010949129818,826.450916161532,0,,
825.664859289654,1.91014269026516,825.664859289654,0,,
824.878802417771,1.91017599279178,824.878802417771,0,,
824.092745545889,1.91020939931919,824.092745545889,0,,
823.30668867401,1.91024291029097,823.30668867401,0,,
822.52063180213,1.9102765261531,822.52063180213,0,,
821.734574930251,1.91031024735403,821.734574930251,0,,
