sep=,
S2Chart
X of Ga2O3_silicon_calib 75  1 Measured 75 [Wavelength (nm)],Ga2O3_silicon_calib 75  1 Measured 75 - Delta,X of Ga2O3_silicon_calib 70  2 Measured 70 [Wavelength (nm)],Ga2O3_silicon_calib 70  2 Measured 70 - Delta,X of Ga2O3_silicon_calib 65  3 Measured 65 [Wavelength (nm)],Ga2O3_silicon_calib 65  3 Measured 65 - Delta,X of Ga2O3_silicon_calib 60  4 Measured 60 [Wavelength (nm)],Ga2O3_silicon_calib 60  4 Measured 60 - Delta,X of Ga2O3_silicon_calib 55  5 Measured 55 [Wavelength (nm)],Ga2O3_silicon_calib 55  5 Measured 55 - Delta,X of Ga2O3_silicon_calib 50  6 Measured 50 [Wavelength (nm)],Ga2O3_silicon_calib 50  6 Measured 50 - Delta,X of Ga2O3_silicon_calib 75  1 Generated 75 [Wavelength (nm)],Ga2O3_silicon_calib 75  1 Generated 75 - Delta,X of Ga2O3_silicon_calib 70  2 Generated 70 [Wavelength (nm)],Ga2O3_silicon_calib 70  2 Generated 70 - Delta,X of Ga2O3_silicon_calib 65  3 Generated 65 [Wavelength (nm)],Ga2O3_silicon_calib 65  3 Generated 65 - Delta,X of Ga2O3_silicon_calib 60  4 Generated 60 [Wavelength (nm)],Ga2O3_silicon_calib 60  4 Generated 60 - Delta,X of Ga2O3_silicon_calib 55  5 Generated 55 [Wavelength (nm)],Ga2O3_silicon_calib 55  5 Generated 55 - Delta,X of Ga2O3_silicon_calib 50  6 Generated 50 [Wavelength (nm)],Ga2O3_silicon_calib 50  6 Generated 50 - Delta
931.782536993563,-36.5260685809299,931.782536993563,-52.4185735232296,931.782536993563,-71.3765783518026,931.782536993563,267.392236182982,931.782536993563,245.577602471837,931.782536993563,227.389605359368,931.782536993563,-35.1641261149118,931.782536993563,-50.8742904880486,931.782536993563,-69.6635261525779,931.782536993563,268.986356772457,931.782536993563,247.580318257424,931.782536993563,229.140511836691
930.996480121682,-36.2274004926156,930.996480121682,-52.079669518398,930.996480121682,-70.9556985917546,930.996480121682,268.320182365304,930.996480121682,245.827896095305,930.996480121682,229.428762085806,930.996480121682,-35.2497536630678,930.996480121682,-50.9962848436153,930.996480121682,-69.8241213183427,930.996480121682,268.800229440349,930.996480121682,247.400684901202,930.996480121682,228.993876806959
930.210423249798,-36.0438784052959,930.210423249798,-52.0579712824746,930.210423249798,-70.8603998152669,930.210423249798,266.330432630912,930.210423249798,247.202093357696,930.210423249798,227.608980927069,930.210423249798,-35.3352576302096,930.210423249798,-51.1182164399205,930.210423249798,-69.9847151672084,930.210423249798,268.614190514069,930.210423249798,247.221339440782,930.210423249798,228.847606090916
929.424366377918,-36.7790085704947,929.424366377918,-53.0287010175964,929.424366377918,-72.0482569906092,929.424366377918,266.652828943701,929.424366377918,244.314176530369,929.424366377918,226.923540454765,929.424366377918,-35.4206398273119,929.424366377918,-51.2400883161006,929.424366377918,-70.145311239216,929.424366377918,268.428237411,929.424366377918,247.042279556337,929.424366377918,228.701696760437
928.638309506041,-36.32952168989,928.638309506041,-52.4724344964533,928.638309506041,-71.4404139986564,928.638309506041,267.71011755564,928.638309506041,246.511298823689,928.638309506041,228.806008316333,928.638309506041,-35.5059020746556,928.638309506041,-51.36190352241,928.638309506041,-70.305913077825,928.638309506041,268.242367556556,928.638309506041,246.863502934123,928.638309506041,228.556145898992
927.852252634154,-36.6986114497751,927.852252634154,-52.785560020706,927.852252634154,-71.9519793243149,927.852252634154,266.102049951749,927.852252634154,246.247262520728,927.852252634154,227.397380535318,927.852252634154,-35.5910462016846,927.852252634154,-51.4836651201606,927.852252634154,-70.4665242298772,927.852252634154,268.056578384173,927.852252634154,246.685007266425,927.852252634154,228.410950601584
927.066195762279,-37.2662158904943,927.066195762279,-53.3777091269036,927.066195762279,-72.0564527991989,927.066195762279,266.115939594401,927.066195762279,244.055972437624,927.066195762279,226.718477387502,927.066195762279,-35.6760740468571,927.066195762279,-51.6053761816542,927.066195762279,-70.6271482455514,927.066195762279,267.87086733531,927.066195762279,246.50679025153,927.066195762279,228.266107974702
926.280138890394,-36.9745599167379,926.280138890394,-52.9894351595693,926.280138890394,-71.53384375087,926.280138890394,266.851645208939,926.280138890394,244.987163816887,926.280138890394,227.820499181999,926.280138890394,-35.7609874575119,926.280138890394,-51.727039790139,926.280138890394,-70.7877886783448,926.280138890394,267.685231859418,926.280138890394,246.328849593661,926.280138890394,228.121615136252
925.494082018515,-36.950274982994,925.494082018515,-52.6518132343207,925.494082018515,-72.6452543657564,925.494082018515,265.424740276723,925.494082018515,245.233789459837,925.494082018515,225.711300758504,925.494082018515,-35.8457882897193,925.494082018515,-51.8486590397438,925.494082018515,-70.9484490850255,925.494082018515,267.499669413946,925.494082018515,246.15118300295,925.494082018515,227.97746921551
924.708025146633,-37.3234143556522,924.708025146633,-53.4402477871603,924.708025146633,-73.207572096943,924.708025146633,265.365115016375,924.708025146633,244.989751283991,924.708025146633,226.922972849626,924.708025146633,-35.9305666072931,924.708025146633,-51.9703424896407,924.708025146633,-71.1092351093434,924.708025146633,267.314105627282,924.708025146633,245.973758367556,924.708025146633,227.833667468547
